AGETL,PROGRAM_NAME,RPT_FISCAL_YR,ACTIVE,AMT_PROG_OL,AMT_IP,AMT_OVER_PAYMT,AMT_UNDER_PAYMT,AMT_YR_ONE_OL,AMT_YR_ONE_IP,AMT_YR_TWO_OL,AMT_YR_TWO_IP,AMT_YR_THREE_OL,AMT_YR_THREE_IP
Small Business Administration,Disaster Assistance Loans,2004,A,806,0,0,0,2231,2,11170,89,1200,9
Small Business Administration,Small Business Investment Centers (SBIC),2004,A,2787,129,0,0,1568,11,2709,0,2500,50
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2004,A,466500,1707,1224,483,488000,1960,509000,2040,533000,2140
Social Security Administration,Supplemental Security Income (SSI),2004,A,35706,2639,2195,444,39000,2652,40000,2520,41000,2378
Department of Agriculture,Farm Security & Rural Investment,2005,A,1027,16,0,0,1375,3,291,2,482,3
Department of Agriculture,Federal Crop Insurance,2005,A,3170,28,0,0,3206,62,3184,156,3167,152
Department of Agriculture,Loan Deficiency Payments,2005,A,453,5,0,0,4790,443,4839,436,4258,255
Department of Agriculture,Marketing Assistance Loan,2005,A,6400,45,0,0,7950,1611,4565,822,3205,449
Department of Agriculture,Milk Income Loss,2005,A,245,0,0,0,0,0,351,56,330,30
Department of Agriculture,Rental Assistance,2005,A,846,27,0,0,569,22,769,26,781,23
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2005,A,24128,1432,1091,341,28160,1645,29169,1896,30097,1866
Department of Agriculture,Wildland Fire Suppression,2005,A,1980,73,0,0,285,7,407,4,410,3
Department of Defense--Military Programs,Military Health Benefits,2005,A,7500,87.8,0,0,9100,182,10200,204,10900,218
Department of Defense--Military Programs,Military Pay,2005,A,69100,432,0,0,70100,389,72100,361.9,74300,347
Department of Defense--Military Programs,Military Retirement Benefits,2005,A,35700,49.3,0,0,35700,47.8,35700,45.8,35700,44.1
Department of Education,Federal Family Education Loan (FFEL),2005,A,8626,190,0,0,18245,401,5340,117,5340,117
Department of Education,Pell Grants,2005,A,12749,444,289,155,12117,422,12825,446,12825,446
Department of Education,Title I - Grants to States,2005,A,12740,139,0,0,12597,25,12713,51,12713,51
Department of Health and Human Services,Foster Care-Title IV-E,2005,A,1816,155,0,0,1750,134,1761,133,1760,126
Department of Health and Human Services,HeadStart,2005,A,6865,110,0,0,6786,210,6789,95,6789,95
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2005,A,234100,12100,11200,900,282533,14409,315965,13586,324224,13617
Department of Housing and Urban Development,Community Development Block Grant,2005,A,4870,8,0,0,4832,4,0,0,0,0
Department of Housing and Urban Development,Public Housing / Rental Assistance,2005,A,26069,1467,1074,393,27242,1464,27601,1380,28511,855
Department of Labor,Federal Employees Compensation Act (FECA),2005,A,2519,3,0,0,2555,1,2646,7,2726,7
Department of Labor,Unemployment Insurance (UI),2005,A,32248,3267,3051,216,30976,3376,33020,3266,36240,3385
Department of Labor,Workforce Investment Act (WIA),2005,A,3743,8,0,0,3763,6,3606,7,2975,6
Department of the Treasury,Earned Income Tax Credit (EITC),2005,A,41300,10500,0,0,42100,10700,42700,10900,42700,10900
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2005,A,26298,302,168,134,28960,323,29772,322,30000,312
Department of Veterans Affairs,Education,2005,A,2316,70,37,33,2661,64,2888,66,2973,68
Department of Veterans Affairs,Insurances,2005,I,1678,0.31,0,0,1664,0.33,1679,0.33,1683,0.33
Department of Veterans Affairs,Loan Guaranty,2005,I,1249,6.3,0,0,1219,4.2,2582,8.5,2591,7.8
Department of Veterans Affairs,Pension,2005,A,3391,280,265,15,3293,261,3470,274,3223,253
Department of Veterans Affairs,Vocational Rehabilitation/Employment,2005,I,551,9.5,2.7,6.8,603,9.8,632,9.6,669,9.5
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2005,A,1928,3,0,0,1963,4,0,0,0,0
International Assistance Programs,USAID Cash Transfers,2005,A,1402,1,0,0,851,7,1560,0,1707,0
International Assistance Programs,"USAID Grants, Contracts and Cooperative Agreements",2005,A,6846,15,0,0,0,0,0,0,0,0
National Science Foundation,Research and Education Grants,2005,A,4215,1,0,0,0,0,0,0,0,0
Office of Personnel Management,Federal Employee Health Benefit Program,2005,A,30691,197,191,6,31700,63,0,0,0,0
Office of Personnel Management,Federal Employee Life Insurance Program,2005,A,2327,1,0,0,1380,1,0,0,0,0
Office of Personnel Management,Federal Employee Retirement Programs,2005,A,55612,152,147,5,57900,254,60800,267,64000,281
Railroad Retirement Board,Railroad Unemployment Insurance Program,2005,A,123.3,2.6,0,0,110.8,2.3,119.5,2.5,129.3,2.7
Railroad Retirement Board,Retirement and Survivors Benefits,2005,A,9008,147.9,0,0,9185.4,150.6,9476.4,155.4,9809.8,160.9
Small Business Administration,(504) Certified Development Company Debentures (CDC),2005,A,3917,0,0,0,4274,0,4200,0,4200,0
Small Business Administration,7(a) Business Loans,2005,A,605,31,0,0,651,10,670,10,690,11
Small Business Administration,Disaster Assistance Loans,2005,A,2231,2,0,0,11170,89,1200,9,1300,9
Small Business Administration,Small Business Investment Centers (SBIC),2005,A,1568,11,0,0,2709,0,2500,50,2000,40
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2005,A,493300,3681,2582,1099,513036,2156,540627,2162,569135,2276
Social Security Administration,Supplemental Security Income (SSI),2005,A,37470,2910,2406,504,42994,2709,42805,2482,44875,2466
Department of Agriculture,Child and Adult Care Food - FDC Homes-Tiering Component,2006,A,864,16,0,0,707,12,731,12,753,12
Department of Agriculture,Conservation Reserve,2006,A,1815,64,0,0,1973,162,2100,125,2236,89
Department of Agriculture,Direct & Counter-Cyclical Payments,2006,A,8546,424,0,0,8962,538,7317,366,6483,259
Department of Agriculture,Farm Security & Rural Investment,2006,A,1375,3,0,0,291,2,482,3,556,3
Department of Agriculture,Farm Service Disaster,2006,A,2365,291,0,0,159,27,192,31,0,0
Department of Agriculture,Federal Crop Insurance,2006,A,3206,62,0,0,3184,156,3167,152,3170,149
Department of Agriculture,Loan Deficiency Payments,2006,A,4790,443,0,0,4839,436,4258,255,5257,210
Department of Agriculture,Marketing Assistance Loan,2006,A,7950,1611,0,0,10331,1860,10186,1426,10050,1005
Department of Agriculture,Non-insured Assistance,2006,A,109,25,0,0,102,27,312,56,309,53
Department of Agriculture,Rental Assistance,2006,A,569,22,0,0,769,26,781,23,793,19
Department of Agriculture,"Special Nutrition Program for Women, Infants, and Children (WIC) Vendor Error Component",2006,A,3525,21,0,0,3759,21,3909,20,4020,18
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2006,A,28160,1645,1276,369,29169,1896,30097,1866,32680,1863
Department of Agriculture,Wildland Fire Suppression,2006,A,285,7,0,0,407,4,410,3,406,2
Department of Defense--Military Programs,Civilian Pay,2006,A,33163.38,16.7,12.6,4.1,0,0,0,0,0,0
Department of Defense--Military Programs,Military Health Benefits,2006,A,8651.1,83.5,61.8,21.7,9000,180,8300,166,8900,178
Department of Defense--Military Programs,Military Pay,2006,A,72437.4,65.9,40.1,25.8,60300,303,63000,295,64400,295
Department of Defense--Military Programs,Military Retirement Benefits,2006,A,35897.1,49.4,48.7,0.7,37800,49,39600,49,41300,50
Department of Defense--Military Programs,Travel Pay,2006,A,5212.2,29.4,21.9,7.5,0,0,0,0,0,0
Department of Education,Federal Family Education Loan (FFEL),2006,A,18245,401,0,0,5340,117,5340,117,5340,117
Department of Education,Pell Grants,2006,A,12117,422,303,119,12825,446,12825,446,12825,446
Department of Education,Title I - Grants to States,2006,A,12597,25,0,0,12713,51,12713,51,12713,51
Department of Health and Human Services,Foster Care-Title IV-E,2006,A,1750,134,0,0,1761,133,1760,126,1764,117
Department of Health and Human Services,HeadStart,2006,A,6786,210,0,0,6789,95,6789,95,6789,95
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2006,A,246800,10800,9800,1000,315965,13586,324224,13617,339873,13935
Department of Homeland Security,Disaster Relief Fund Vendor Payments,2006,A,6747,159,0,0,1782,42,3454,69,3454,60
Department of Homeland Security,Individuals & Households Program,2006,A,3902,334,0,0,2551,64,2551,51,2551,38
Department of Housing and Urban Development,Community Development Block Grant,2006,A,4832,4,0,0,0,0,0,0,0,0
Department of Housing and Urban Development,Public Housing / Rental Assistance,2006,A,27242,1464,1052,412,27601,1380,28511,855,28511,713
Department of Labor,Federal Employees Compensation Act (FECA),2006,A,2555,0.7,0,0,2646,7,2726,7,2743,7
Department of Labor,Unemployment Insurance (UI),2006,A,30976,3376,3168,208,33020,3266,36240,3385,35702,3334
Department of Labor,Workforce Investment Act (WIA),2006,A,3763,6.4,0,0,3606,7,2975,6,3000,6
Department of State,International Information Program,2006,A,28,7,0,0,29,3,30,0,31,0
Department of State,International Narcotics & Law Enforcement,2006,A,313,12,0,0,322,0,332,0,342,0
Department of the Treasury,Earned Income Tax Credit (EITC),2006,A,42100,10700,0,0,42700,10900,42700,10900,42700,10900
Department of Transportation,FHWA Highway Planning/Construction,2006,A,35571,30,0,0,0,0,0,0,0,0
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2006,A,28711,306,208,98,31217,325,34233,346,36395,357
Department of Veterans Affairs,Education,2006,A,2611,32,14,18,3051,67,3220,71,3393,71
Department of Veterans Affairs,Loan Guaranty,2006,I,1137,4,0,0,825,1,2321,7,2241,6
Department of Veterans Affairs,Pension,2006,A,3383,371,361,10,3473,371,3540,367,3589,296
Department of Veterans Affairs,Vocational Rehabilitation/Employment,2006,I,583,6,3,3,614,6,657,6,712,6
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2006,A,2300,3.5,0,0,0,0,0,0,0,0
International Assistance Programs,USAID Cash Transfers,2006,A,851,7,0,0,1560,0,1707,0,1823,0
International Assistance Programs,"USAID Grants, Contracts and Cooperative Agreements",2006,A,6846,15,0,0,4903,2,5234,1,5587,0
Office of Personnel Management,Federal Employee Health Benefit Program,2006,A,31700,63,62,1,0,0,0,0,0,0
Office of Personnel Management,Federal Employee Life Insurance Program,2006,A,1380,1,0,0,0,0,0,0,0,0
Office of Personnel Management,Federal Employee Retirement Programs,2006,A,57900,254,179,75,60800,267,64000,281,67300,296
Railroad Retirement Board,Railroad Unemployment Insurance Program,2006,A,111.2,2.6,0,0,115.7,2.7,123.4,2.8,129.3,3
Railroad Retirement Board,Retirement and Survivors Benefits,2006,A,9197.9,151.8,0,0,9513.8,157,9803.7,161.8,10111.3,166.8
Small Business Administration,(504) Certified Development Company Debentures (CDC),2006,A,4274,0,0,0,4200,0,4200,0,4200,0
Small Business Administration,7(a) Business Loans,2006,A,651,10,0,0,670,10,690,11,710,11
Small Business Administration,Disaster Assistance Loans,2006,A,11170,89,0,0,1200,9,1300,9,1300,9
Small Business Administration,Small Business Investment Centers (SBIC),2006,A,2709,0,0,0,2500,50,2000,40,1250,25
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2006,A,514200,3280,2300,980,544511,2178,575933,2304,605759,2424
Social Security Administration,Supplemental Security Income (SSI),2006,A,39068,3028,2500,528,41773,2422,44925,2471,46691,2428
Department of Agriculture,Child and Adult Care Food - FDC Homes-Tiering Component,2007,A,738,12,12,0,702,11.5,725,11.5,788,12
Department of Agriculture,Conservation Reserve,2007,A,1851,9,5,4,1890,10,1926,10,1879,9
Department of Agriculture,Direct & Counter-Cyclical Payments,2007,A,9550,37,37,0,6899,28,6293,26,6592,27
Department of Agriculture,Farm Security & Rural Investment,2007,A,227,1,1,0,272,1,388,1,496,1
Department of Agriculture,Farm Service Disaster,2007,A,368,25,19,6,1496,75,1403,49,0,0
Department of Agriculture,Federal Crop Insurance,2007,A,2364,63,62,1,3421,130,3500,130,3500,126
Department of Agriculture,Loan Deficiency Payments,2007,A,4071,18,18,0,189,1,149,0.75,33,0.16
Department of Agriculture,Marketing Assistance Loan,2007,A,6306,458,458,0,10660,746,8749,438,9119,228
Department of Agriculture,Milk Income Loss,2007,A,351,8,6,2,200,4,0,0,0,0
Department of Agriculture,Non-insured Assistance,2007,A,64,8,7,1,154,15,325,16,325,8
Department of Agriculture,Rental Assistance,2007,A,855,26,21,5,888,27,924,27,961,27
Department of Agriculture,School Breakfast,2007,A,2086,520,0,0,2226,537,2371,553,2503,565
Department of Agriculture,School Lunch,2007,A,8602,1402,0,0,8761,1387,9115,1403,8552,1279
Department of Agriculture,"Special Nutrition Program for Women, Infants, and Children (WIC) Vendor Error Component",2007,A,3598,25,9,16,4158,27,4093,24,3915,22
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2007,A,29942,1794,1443,351,30376,1762,31351,1787,39691,1790
Department of Agriculture,Wildland Fire Suppression,2007,A,1412,13,0,0,1410,13,1406,11,1500,9
Department of Defense--Military Programs,Civilian Pay,2007,A,29159.3,74.6,68.1,6.5,29700,73.8,30800,73,31800,72.3
Department of Defense--Military Programs,Military Health Benefits,2007,A,9500,88.6,0,0,8900,178,9400,188,8900,178
Department of Defense--Military Programs,Military Pay,2007,A,72889.1,370,97.4,272.6,75700,349.6,68400,314.6,69700,313.4
Department of Defense--Military Programs,Military Retirement Benefits,2007,A,37116.4,48.7,48.7,0,39600,51.2,41300,51.9,42900,52.3
Department of Defense--Military Programs,Travel Pay,2007,A,5779.6,43.6,35.1,8.5,6800,6.8,6800,6.8,6800,6.8
Department of Education,Federal Family Education Loan (FFEL),2007,A,11718,258,0,0,5861,1.9,4307,1.4,4307,1.4
Department of Education,Pell Grants,2007,A,12725,446,0,0,12240,433.3,12543,438.9,12543,438.9
Department of Education,Title I - Grants to States,2007,A,12520,64.8,0,0,12597,65.2,12587,65.2,12587,65.2
Department of Health and Human Services,Foster Care-Title IV-E,2007,A,1565,51.6,0,0,1518,49.3,1469,45.5,1426,42.8
Department of Health and Human Services,HeadStart,2007,A,6771,88,0,0,6771,81.3,6771,74.5,6771,67.7
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2007,A,276200,10800,9800,1000,312062,11900,333535,12300,347700,12500
Department of Homeland Security,CBP Custodial Refund & Drawback,2007,A,7119,9,0,0,2423,5,2423,3,2423,1.5
Department of Homeland Security,Disaster Relief Fund Vendor Payments,2007,A,1782,42,0,0,3454,69,6454,60,6454,51
Department of Homeland Security,Individuals & Households Program,2007,A,932,88,0,0,2228,111,2228,45,2228,33
Department of Housing and Urban Development,Public Housing / Rental Assistance,2007,A,27505,1519,1142,377,28663,1330,29416,810,29584,680
Department of Labor,Federal Employees Compensation Act (FECA),2007,A,2654,2.6,2.6,0,2701,6.5,2863,6.9,2896,7
Department of Labor,Unemployment Insurance (UI),2007,A,31530,3248,3062,186,32020,3695,34900,4027,36970,4119
Department of Labor,Workforce Investment Act (WIA),2007,A,3606,2.9,2.9,0,3292,3.2,2918,3.2,2898,3.2
Department of State,Business Class Travel,2007,A,16,0.65,0.65,0,17,0.65,18,0.66,19,0.67
Department of State,International Information Program,2007,A,23.7,1.04,1.04,0,24,0.18,25,0.18,26,0.18
Department of the Treasury,Earned Income Tax Credit (EITC),2007,A,44500,11350,0,0,46200,11800,47100,12000,48100,12250
Department of Transportation,FAA Airport Improvement Program,2007,A,3874,0,0,0,3967,0,4075,0,4075,0
Department of Transportation,FHWA Highway Planning/Construction,2007,A,33347,55.2,0,0,37140,50,39300,45,39300,40
Department of Transportation,FTA Capital Investment Grants Program,2007,A,2663,29.3,0,0,2800,2.9,2800,2.8,2800,2.7
Department of Transportation,FTA Formula Grants Program,2007,A,6281,4.32,0,0,5700,4.32,5700,4,5800,3
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2007,A,30915,240.8,208.1,32.7,34193,345.3,37430,366.8,40862,388.2
Department of Veterans Affairs,Education,2007,A,2754,101,52.3,48.7,3007,88.7,3137,81.6,3213,77.2
Department of Veterans Affairs,Fee Program,2007,A,1578,92.6,0,0,1757,103.66,1917,113.1,2092,121.3
Department of Veterans Affairs,Loan Guaranty,2007,I,876,4.7,0,0,881,5.4,925,5,971,4.6
Department of Veterans Affairs,Pension,2007,A,3525,303.9,300,3.9,3645,377.6,3773,311.2,3912,317.7
Department of Veterans Affairs,Vocational Rehabilitation/Employment,2007,I,573,4,1.9,2.1,618,5.6,669,5.4,716,5.3
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2007,A,2300,1.64,0,0,0,0,0,0,0,0
Federal Communications Commission,Universal Service Fund - High Cost,2007,A,3748,620,620,0,0,0,0,0,0,0
Federal Communications Commission,Universal Service Fund - Low Income,2007,A,796,75.5,75.5,0,0,0,0,0,0,0
Federal Communications Commission,Universal Service Fund - Schools and Libraries,2007,A,1630,210,210,0,0,0,0,0,0,0
International Assistance Programs,USAID Cash Transfers,2007,A,1418,3,0,0,1489,1,1564,0.8,1642,0.4
International Assistance Programs,"USAID Grants, Contracts and Cooperative Agreements",2007,A,7841,96,0,0,8223,41,8644,22,9077,11
Office of Personnel Management,Federal Employee Health Benefit Program,2007,A,33477.4,168.7,167.9,0.8,36900,136.5,39700,135,42800,141.3
Office of Personnel Management,Federal Employee Life Insurance Program,2007,A,2395.3,0.82,0.21,0.61,2470,1.73,2590,1.81,2710,1.36
Office of Personnel Management,Federal Employee Retirement Programs,2007,A,60420.1,253.5,208.9,44.6,64000,275.2,67300,282.7,70700,289.9
Railroad Retirement Board,Railroad Unemployment Insurance Program,2007,A,105.6,2.7,0,0,111,2.9,120.9,3.1,129.2,3.4
Railroad Retirement Board,Retirement and Survivors Benefits,2007,A,9457.4,128.6,0,0,9803.4,133.3,10174.5,101.7,10453.3,104.5
Small Business Administration,(504) Certified Development Company Debentures (CDC),2007,A,6282,0,0,0,7500,0,7500,0,7500,0
Small Business Administration,7(a) Business Loans,2007,A,610.2,2.6,0,0,610,2.44,610,2.44,610,2.44
Small Business Administration,7(a) Guaranty Approvals,2007,A,13517,0,0,0,17500,0,17500,0,17500,0
Small Business Administration,CDC Loans Guarantied,2007,A,6282,0,0,0,7500,0,7500,0,7500,0
Small Business Administration,Disaster Assistance Loans,2007,A,819.7,4.5,0,0,800,4,800,4,800,4
Small Business Administration,Small Business Investment Centers (SBIC),2007,A,2525,4,0,0,2500,4,2000,3.2,1250,2
Social Security Administration,"Old Age, Survivors & Disability Insurance (OASDI)",2007,A,545000,2504,1824,680,576003,2304,604479,2418,637154,2548
Social Security Administration,Supplemental Security Income (SSI),2007,A,40328,4089,3193,896,44033,2421,46144,2400,48194,2506
Department of Agriculture,Child and Adult Care Food - FDC Homes-Tiering Component,2008,A,728,11.36,11.21,0.15,757,11,776,11,796,11
Department of Agriculture,Conservation Reserve,2008,A,1888.07,23.92,23.26,0.66,1876,23,1891,22,1933,21
Department of Agriculture,Direct & Counter-Cyclical Payments,2008,A,7144.37,47.18,43.7,3.48,3988,26,4578,27,4406,26
Department of Agriculture,Farm Security & Rural Investment,2008,A,1137.65,0,0,0,1519,5,1790,4,1800,3
Department of Agriculture,Farm Service Disaster,2008,A,153.66,4.81,4.68,0.12,2245,67,2568,76,1291,37
Department of Agriculture,Federal Crop Insurance,2008,A,3508,164.9,163.1,1.8,3600,166,3900,176,3900,172
Department of Agriculture,Loan Deficiency Payments,2008,A,134.45,0.84,0.71,0.13,6,0,7,0.1,7,0.1
Department of Agriculture,Marketing Assistance Loan,2008,A,4981,91.73,91.31,0.42,4935,81,6609,102,6454,94
Department of Agriculture,Milk Income Loss,2008,A,155.18,0.33,0.21,0.12,2,0,10,0.01,15,0.1
Department of Agriculture,Non-insured Assistance,2008,A,125.87,17.75,17.18,0.57,67,9,325,39,325,33
Department of Agriculture,Rental Assistance,2008,A,886.9,35,35,0,924,36,960,36,999,35
Department of Agriculture,School Breakfast,2008,A,2150,538,463,75,2418,590,2503,590,2623,590
Department of Agriculture,School Lunch,2008,A,8756,1449,1095,354,9562,1538,9715,1518,9981,1516
Department of Agriculture,"Special Nutrition Program for Women, Infants, and Children (WIC) Vendor Error Component",2008,A,3950,34,14,20,4547,37,4492,35,4594,33
Department of Agriculture,Supplemental Nutrition Assistance Program (SNAP),2008,A,30373.27,1713.43,1391.96,321.46,33866,1910,35189,1970,35483,1916
Department of Agriculture,Wildland Fire Suppression,2008,A,1370.02,0.23,0.09,0.13,1900,0.4,2090,0.4,2300,0.5
Department of Defense--Military Programs,Civilian Pay,2008,A,26412.7,73.87,73.87,0,31300,73,32300,72.3,32300,72.2
Department of Defense--Military Programs,Military Health Benefits,2008,A,10400,45.8,0,0,10800,216,10500,211,10800,216
Department of Defense--Military Programs,Military Pay,2008,A,72083.3,434.6,137.1,297.5,68400,362.5,69700,362.4,71000,362.1
Department of Defense--Military Programs,Military Retirement Benefits,2008,A,35640.83,44.01,44,0.01,41300,51.4,42900,54.2,44500,52.3
Department of Defense--Military Programs,Travel Pay,2008,A,5213.2,103.3,87.03,16.27,8600,82.4,8500,76.5,8300,72.3
Department of Education,Federal Family Education Loan (FFEL),2008,A,22835,384,0,0,24071,404,18427,310,18427,310
Department of Education,Pell Grants,2008,A,14927,613,0,0,17081,630,16908,592,16908,592
Department of Education,Title I - Grants to States,2008,A,12597,40,0,0,12587,40,12990,42,13899,44
Department of Health and Human Services,Child Care and Development Fund (CCDF),2008,A,4983,573,0,0,5028,553.1,4985,523.4,4979,497.9
Department of Health and Human Services,Foster Care-Title IV-E,2008,A,1551,99.6,0,0,1523,91.4,1512,83.2,1487,74.3
Department of Health and Human Services,HeadStart,2008,A,6878,206.3,0,0,7027,140.5,7027,133.5,7027,126.5
Department of Health and Human Services,Medicaid,2008,A,177547,18642,0,0,0,0,0,0,0,0
Department of Health and Human Services,Medicare Advantage (Part C),2008,A,64600,6848,0,0,0,0,0,0,0,0
Department of Health and Human Services,Medicare Fee-for-Service (FFS),2008,A,288200,10400,9500,900,321127,11239,335185,11396,349613,11537
Department of Health and Human Services,Children's Health Insurance Program (CHIP),2008,A,5676,834.4,0,0,0,0,0,0,0,0
Department of Health and Human Services,Temporary Assistance for Needy Families (TANF),2008,A,17880,1663,0,0,0,0,0,0,0,0
Department of Homeland Security,Aviation Security - Payroll,2008,A,2012,2,0,2,2308,2.3,2605,2.6,2759,2.76
Department of Homeland Security,CBP Custodial Refund & Drawback,2008,A,7118,2,2,0,1537,1,1650,1,1600,1
Department of Homeland Security,Detention and Removal Operations,2008,A,1232,10,9,1,2332,11,2205,7,2198,4
Department of Homeland Security,Disaster Relief Fund Vendor Payments,2008,A,1908,144,143,1,1602,80,1682,50,1766,44
Department of Homeland Security,Federal Protective Service,2008,A,723,267,267,0,778,151,812,73,848,13
Department of Homeland Security,ICE Investigations,2008,A,227,4,4,0,283.6,5.1,326.7,5.88,333.2,6
Department of Homeland Security,Individuals & Households Program,2008,A,636,46,45,1,636,35,668,23,701,18
Department of Homeland Security,USCG Active Duty Military Payroll,2008,A,2448,21,20,1,2628,19,2707,16,2788,12
Department of Homeland Security,USCG Contract Payments,2008,A,1811,0,0,0,1832.6,0,1832.6,0,1832.6,0
Department of Housing and Urban Development,Public Housing / Rental Assistance,2008,A,28151.95,992.52,726.46,266.06,28553.39,960.52,29000,942.11,29000,912
Department of Labor,Federal Employees Compensation Act (FECA),2008,A,2737,0.5,0.5,0,2732,0.5,2792,0.6,2854,0.6
Department of Labor,Unemployment Insurance (UI),2008,A,42430,4226,3925,301,45508,4532,44374,4375,43686,4264
Department of Labor,Workforce Investment Act (WIA),2008,A,3547,2.5,2.5,0,3551,2.5,3017,2.1,2954,2.1
Department of State,Business Class Travel,2008,A,25.82,0.25,0,0,25.82,0.25,25.82,0.25,25.82,0.25
Department of the Treasury,Earned Income Tax Credit (EITC),2008,A,47600,12100,0,0,49500,12600,52500,13400,53200,13600
Department of Transportation,FAA Airport Improvement Program,2008,A,4428,0.97,0,0,3967,0,4075,0,4200,0
Department of Transportation,FHWA Highway Planning/Construction,2008,A,32190,55.1,0,0,39264,39.3,37513,37.5,35046,35
Department of Transportation,FTA Capital Investment Grants Program,2008,A,2473,87,0,0,2626,13,2218,1.11,2098,1.05
Department of Transportation,FTA Formula Grants Program,2008,A,7298,47.6,0,0,8557,14.26,9080,1.51,8597,1.43
Department of Veterans Affairs,Compensation/Dependency & Indemnity,2008,A,33727,340.2,254.5,85.7,37303,391.6,39766,409.6,42649,405.1
Department of Veterans Affairs,Education,2008,A,2856,63.7,28,35.7,3242,71.4,4643,171.8,8634,863.4
Department of Veterans Affairs,Fee Program,2008,A,1941,24.8,0,0,2038,25.5,2140,23.5,2247,22.5
Department of Veterans Affairs,Loan Guaranty,2008,I,903,3.9,0,0,1053,4.2,1228,4.7,1432,5.2
Department of Veterans Affairs,Non-VA Care Civilian Health and Medical Program of the Dept of Veterans Affairs (CHAMPVA),2008,A,538.7,17.1,0,0,631.4,25.3,735.5,29.4,752.7,26.3
Department of Veterans Affairs,Pension,2008,A,3663,375.1,363.5,11.6,3869,321.5,4006,327.7,4149,334.8
Environmental Protection Agency,Clean & Drinking Water State Revolving Fund (SRF),2008,A,2100,8.3,0,0,0,0,0,0,0,0
